Archive,PedObserv_ID,Location_ID,DateTime,Direction_1,Direction_2,Total_of_Directions,Sensor_Name
pedestrian-counting-system-monthly-counts-per-hour.zip,87920241206,87,2024-12-06T09:00:00,66,57,123,Errol23_T
pedestrian-counting-system-monthly-counts-per-hour.zip,140620241218,140,2024-12-18T06:00:00,36,6,42,Boyd2837_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1621420241203,162,2024-12-03T14:00:00,447,625,1072,Eli489_T
pedestrian-counting-system-monthly-counts-per-hour.zip,562020241225,56,2024-12-25T20:00:00,286,300,586,Lon364_T
pedestrian-counting-system-monthly-counts-per-hour.zip,69420241203,69,2024-12-03T04:00:00,1,0,1,FLDegC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,532020241225,53,2024-12-25T20:00:00,231,196,427,Col254_T
pedestrian-counting-system-monthly-counts-per-hour.zip,20020241227,20,2024-12-27T00:00:00,66,69,135,LtB170_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1672320241223,167,2024-12-23T23:00:00,1,11,12,Lat526_T_2
pedestrian-counting-system-monthly-counts-per-hour.zip,1672020241229,167,2024-12-29T20:00:00,40,48,88,Lat526_T_2
pedestrian-counting-system-monthly-counts-per-hour.zip,681620241224,68,2024-12-24T16:00:00,273,267,540,FLDegN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,301320241229,30,2024-12-29T13:00:00,260,550,810,Lon189_T
pedestrian-counting-system-monthly-counts-per-hour.zip,8320241231,8,2024-12-31T03:00:00,1,0,1,WebBN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,167820241213,167,2024-12-13T08:00:00,17,73,90,Lat526_T_2
pedestrian-counting-system-monthly-counts-per-hour.zip,1641320241203,164,2024-12-03T13:00:00,85,55,140,Lat526_T_1
pedestrian-counting-system-monthly-counts-per-hour.zip,1322220241210,132,2024-12-10T22:00:00,79,83,162,King335_T
pedestrian-counting-system-monthly-counts-per-hour.zip,107820241220,107,2024-12-20T08:00:00,80,133,213,280Will_T
pedestrian-counting-system-monthly-counts-per-hour.zip,139620241221,139,2024-12-21T06:00:00,4,5,9,Signal1647_T
pedestrian-counting-system-monthly-counts-per-hour.zip,181920241208,18,2024-12-08T19:00:00,42,23,65,Col12_T
pedestrian-counting-system-monthly-counts-per-hour.zip,107720241221,107,2024-12-21T07:00:00,15,27,42,280Will_T
pedestrian-counting-system-monthly-counts-per-hour.zip,69020241214,69,2024-12-14T00:00:00,16,18,34,FLDegC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,671820241221,67,2024-12-21T18:00:00,385,464,849,FLDegS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,70220241201,70,2024-12-01T02:00:00,2,3,5,Errol20_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1641020241213,164,2024-12-13T10:00:00,100,54,154,Lat526_T_1
pedestrian-counting-system-monthly-counts-per-hour.zip,1621620241227,162,2024-12-27T16:00:00,316,390,706,Eli489_T
