num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S057814,2025-05-17,02:30:00,PASEO. PRADO,1,CENTRO,Atropello a persona,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,441236,4473530,false,true
2025S057814,2025-05-17,02:30:00,PASEO. PRADO,1,CENTRO,Atropello a persona,Despejado,Turismo,Pasajero,De 25 a 29 años,Mujer,14,Sin asistencia sanitaria,441236,4473530,false,false
2025S057814,2025-05-17,02:30:00,PASEO. PRADO,1,CENTRO,Atropello a persona,Despejado,Turismo,Peatón,De 35 a 39 años,Hombre,3,Ingreso superior a 24 horas,441236,4473530,false,false
2025S057908,2025-05-17,04:20:00,CALL. ROMERO GIRON,5,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,442116,4478663,true,false
2025S057908,2025-05-17,04:20:00,CALL. ROMERO GIRON,5,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,442116,4478663,false,false
2025S057908,2025-05-17,04:20:00,CALL. ROMERO GIRON,5,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor,Desconocido,Desconocido,,Desconocido,442116,4478663,false,false
2025S057908,2025-05-17,04:20:00,CALL. ROMERO GIRON,5,CHAMARTÍN,Alcance,Despejado,Turismo,Pasajero,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,442116,4478663,false,false
2025S057914,2025-05-17,04:40:00,CALL. ESTEBAN CARROS / CALL. CABO DE CREUS,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Camión rígido,Conductor,De 35 a 39 años,Hombre,,Desconocido,444189,4469501,true,false
2025S057943,2025-05-17,06:24:00,GTA. PUENTE DE SEGOVIA / PASEO. EXTREMADURA,10,LATINA,Otro,,Turismo,Conductor,De 21 a 24 años,Mujer,,Desconocido,438535,4473982,false,false
2025S057958,2025-05-17,06:36:00,CALL. ARCOS DE JALON,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,,Turismo,Conductor,De 25 a 29 años,Hombre,,Desconocido,447724,4475028,false,false
2025S057958,2025-05-17,06:36:00,CALL. ARCOS DE JALON,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,447724,4475028,false,false
