num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Conductor,De 50 a 54 años,Mujer,,Desconocido,439035,4470712,true,false
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Pasajero,De 15 a 17 años,Mujer,,Desconocido,439035,4470712,false,false
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Pasajero,De 45 a 49 años,Mujer,,Desconocido,439035,4470712,false,false
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Pasajero,Menor de 5 años,Hombre,,Desconocido,439035,4470712,false,false
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Pasajero,Menor de 5 años,Hombre,,Desconocido,439035,4470712,false,false
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Pasajero,Menor de 5 años,Mujer,,Desconocido,439035,4470712,false,false
2025S058200,2025-05-18,02:40:00,CALL. VIA LUSITANA / PLAZA. ELIPTICA,11,CARABANCHEL,Alcance,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,439035,4470712,true,false
2025S058205,2025-05-18,02:45:00,CALL. ROBLES / CALL. MONTE ULIA,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 35 a 39 años,Mujer,,Desconocido,443120,4472004,true,false
2025S058205,2025-05-18,02:45:00,CALL. ROBLES / CALL. MONTE ULIA,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,443120,4472004,false,false
2025S058207,2025-05-18,01:20:00,CALL. O'DONNELL,3,RETIRO,Caída,Despejado,Motocicleta > 125cc,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,443456,4474636,false,false
2025S058232,2025-05-18,02:40:00,CALL. GONZALEZ DAVILA,18,VILLA DE VALLECAS,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,1,Atención en urgencias sin posterior ingreso,445691,4469908,true,false
2025S058270,2025-05-18,04:30:00,AUTOV. M-30,11,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,,Desconocido,439750,4471995,false,false
2025S058271,2025-05-18,00:41:00,CALL. PUENTE LA REINA,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 18 a 20 años,Mujer,,Desconocido,443148,4483525,false,false
