fecha,hora,identificador,peatones,Número_distrito,distrito,direccion,observaciones_direccion,latitude,longitude
2024-02-01,16:00:00,PERM_PEA01_PM01,1660,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-01,17:00:00,PERM_PEA01_PM01,1126,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-01,18:00:00,PERM_PEA01_PM01,1195,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-01,19:00:00,PERM_PEA01_PM01,1182,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-01,20:00:00,PERM_PEA01_PM01,1422,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-01,21:00:00,PERM_PEA01_PM01,1981,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-01,22:00:00,PERM_PEA01_PM01,2184,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-02-02,23:00:00,PERM_PEA01_PM01,1523,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,00:00:00,PERM_PEA01_PM01,710,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,01:00:00,PERM_PEA01_PM01,188,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,02:00:00,PERM_PEA01_PM01,75,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,03:00:00,PERM_PEA01_PM01,70,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,04:00:00,PERM_PEA01_PM01,29,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,05:00:00,PERM_PEA01_PM01,16,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,06:00:00,PERM_PEA01_PM01,33,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,07:00:00,PERM_PEA01_PM01,39,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,08:00:00,PERM_PEA01_PM01,152,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,09:00:00,PERM_PEA01_PM01,495,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,10:00:00,PERM_PEA01_PM01,1265,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,11:00:00,PERM_PEA01_PM01,2143,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,12:00:00,PERM_PEA01_PM01,2624,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,13:00:00,PERM_PEA01_PM01,2200,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,14:00:00,PERM_PEA01_PM01,2305,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,15:00:00,PERM_PEA01_PM01,2314,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,16:00:00,PERM_PEA01_PM01,2036,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,17:00:00,PERM_PEA01_PM01,1424,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,18:00:00,PERM_PEA01_PM01,1420,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,19:00:00,PERM_PEA01_PM01,1542,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,20:00:00,PERM_PEA01_PM01,1589,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,21:00:00,PERM_PEA01_PM01,1895,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-01,22:00:00,PERM_PEA01_PM01,1850,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-03-02,23:00:00,PERM_PEA01_PM01,1493,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,00:00:00,PERM_PEA01_PM01,646,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,01:00:00,PERM_PEA01_PM01,228,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,02:00:00,PERM_PEA01_PM01,91,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,03:00:00,PERM_PEA01_PM01,63,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,04:00:00,PERM_PEA01_PM01,13,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,05:00:00,PERM_PEA01_PM01,18,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,06:00:00,PERM_PEA01_PM01,44,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,07:00:00,PERM_PEA01_PM01,64,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,08:00:00,PERM_PEA01_PM01,216,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,09:00:00,PERM_PEA01_PM01,746,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,10:00:00,PERM_PEA01_PM01,1598,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,11:00:00,PERM_PEA01_PM01,2293,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,12:00:00,PERM_PEA01_PM01,2193,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,13:00:00,PERM_PEA01_PM01,2113,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,14:00:00,PERM_PEA01_PM01,1955,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,15:00:00,PERM_PEA01_PM01,1406,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,16:00:00,PERM_PEA01_PM01,1650,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,17:00:00,PERM_PEA01_PM01,1597,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,18:00:00,PERM_PEA01_PM01,1646,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,19:00:00,PERM_PEA01_PM01,1275,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,20:00:00,PERM_PEA01_PM01,1174,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,21:00:00,PERM_PEA01_PM01,1098,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-01,22:00:00,PERM_PEA01_PM01,1304,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-04-02,23:00:00,PERM_PEA01_PM01,964,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,00:00:00,PERM_PEA01_PM01,430,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,01:00:00,PERM_PEA01_PM01,127,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,02:00:00,PERM_PEA01_PM01,80,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,03:00:00,PERM_PEA01_PM01,32,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,04:00:00,PERM_PEA01_PM01,28,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,05:00:00,PERM_PEA01_PM01,32,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,06:00:00,PERM_PEA01_PM01,78,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,07:00:00,PERM_PEA01_PM01,82,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,08:00:00,PERM_PEA01_PM01,323,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
2024-05-01,09:00:00,PERM_PEA01_PM01,704,1,Centro,Calle Arenal esquina San Martín,Calle peatonal,40.417386,-3.707141
